NUMBER,CODE,SERIAL,NAME,TYPE1,TYPE2,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,LEGENDARY_FLAG,MEGA_EVOLUTION_FLAG,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,TOTAL,CAPTURE_RATE,BASE_EGG_HATCH_CYCLE,BASE_EGG_HATCH_STEPS,EGG_GROUP1,EGG_GROUP2,BASE_EXP,EFFORT_HP,EFFORT_ATK,EFFORT_DEF,EFFORT_SP_ATK,EFFORT_SP_DEF,EFFORT_SPD,EFFORT_TOTAL
1,1,11,Bulbasaur,Grass,Poison,Green,Overgrow,,Chrolophyll,1,0,0,0.7,6.9,45,49,49,65,65,45,318,45,20,5120,Monster,Grass,64,0,0,0,1,0,0,1
2,1,21,Ivysaur,Grass,Poison,Green,Overgrow,,Chrolophyll,1,0,0,1,13,60,62,63,80,80,60,405,45,20,5120,Monster,Grass,142,0,0,0,1,1,0,2
3,1,31,Venusaur,Grass,Poison,Green,Overgrow,,Chrolophyll,1,0,0,2,100,80,82,83,100,100,80,525,45,20,5120,Monster,Grass,263,0,0,0,2,1,0,3
3,2,32,Mega Venusaur,Grass,Poison,Green,Thick Fat,,,1,0,1,2.4,155.5,80,100,123,122,120,80,625,45,20,5120,Monster,Grass,313,0,0,0,2,1,0,3
4,1,41,Charmander,Fire,,Red,Blaze,,Solar Power,1,0,0,0.6,8.5,39,52,43,60,50,65,309,45,20,5120,Monster,Dragon,62,0,0,0,0,0,1,1
5,1,51,Charmeleon,Fire,,Red,Blaze,,Solar Power,1,0,0,1.1,19,58,64,58,80,65,80,405,45,20,5120,Monster,Dragon,142,0,0,0,1,0,1,2
6,1,61,Charizard,Fire,Flying,Red,Blaze,,Solar Power,1,0,0,1.7,90.5,78,84,78,109,85,100,534,45,20,5120,Monster,Dragon,267,0,0,0,3,0,0,3
6,2,62,Mega Charizard X,Fire,Dragon,Black,Tough Claws,,,1,0,1,1.7,110.5,78,130,111,130,85,100,634,45,20,5120,Monster,Dragon,317,0,0,0,3,0,0,3
6,3,63,Mega Charizard Y,Fire,Flying,Red,Drought,,,1,0,1,1.7,90.5,78,104,78,159,115,100,634,45,20,5120,Monster,Dragon,317,0,0,0,3,0,0,3
7,1,71,Squirtle,Water,,Blue,Torrent,,Rain Dish,1,0,0,0.5,9,44,48,65,50,64,43,314,45,20,5120,Monster,Water1,63,0,0,1,0,0,0,1
8,1,81,Wartortle,Water,,Blue,Torrent,,Rain Dish,1,0,0,1,22.5,59,63,80,65,80,58,405,45,20,5120,Monster,Water1,142,0,0,1,0,1,0,2
9,1,91,Blastoise,Water,,Blue,Torrent,,Rain Dish,1,0,0,1.6,85.5,79,83,100,85,105,78,530,45,20,5120,Monster,Water1,265,0,0,0,0,3,0,3
9,2,92,Mega Blastoise,Water,,Blue,Mega Launcher,,,1,0,1,1.6,101.1,79,103,120,135,115,78,630,45,20,5120,Monster,Water1,315,0,0,0,0,3,0,3
